Sample in Buffer,Sample in Window,TRIGGER,design_1_i/compress_0_WC_TDATA[31:0],design_1_i/compress_0_WC_TVALID
459,459,0,11111111111111111111111111111111,1
460,460,0,00000000000000000000010001100101,1
461,461,0,11111111111111111111111111111111,1
462,462,0,11111111111111111111111111111111,1
463,463,0,11111111111111111111111111111111,1
464,464,0,11111111111111111111111111111111,1
465,465,0,00000000000000000000010001110000,1
466,466,0,11111111111111111111111111111111,1
467,467,0,11111111111111111111111111111111,1
468,468,0,11111111111111111111111111111111,1
469,469,0,11111111111111111111111111111111,1
470,470,0,00000000000000000000010001111011,1
471,471,0,11111111111111111111111111111111,1
472,472,0,11111111111111111111111111111111,1
473,473,0,11111111111111111111111111111111,1
474,474,0,11111111111111111111111111111111,1
475,475,0,00000000000000000000010010000110,1
476,476,0,11111111111111111111111111111111,1
477,477,0,11111111111111111111111111111111,1
478,478,0,11111111111111111111111111111111,1
479,479,0,11111111111111111111111111111111,1
480,480,0,00000000000000000000010001101010,1
481,481,0,11111111111111111111111111111111,1
482,482,0,11111111111111111111111111111111,1
483,483,0,11111111111111111111111111111111,1
484,484,0,11111111111111111111111111111111,1
485,485,0,00000000000000000000010001110101,1
486,486,0,11111111111111111111111111111111,1
487,487,0,11111111111111111111111111111111,1
488,488,0,11111111111111111111111111111111,1
489,489,0,11111111111111111111111111111111,1
490,490,0,11111111111111111111111111111111,1
491,491,0,00000000000000000000010010010010,1
492,492,0,11111111111111111111111111111111,1
493,493,0,11111111111111111111111111111111,1
494,494,0,11111111111111111111111111111111,1
495,495,0,11111111111111111111111111111111,1
496,496,0,00000000000000000000010001100100,1
497,497,0,11111111111111111111111111111111,1
498,498,0,11111111111111111111111111111111,1
499,499,0,11111111111111111111111111111111,1
500,500,1,11111111111111111111111111111111,1
501,501,0,00000000000000000000010001101111,1
502,502,0,11111111111111111111111111111111,1
503,503,0,11111111111111111111111111111111,1
504,504,0,11111111111111111111111111111111,1
505,505,0,11111111111111111111111111111111,1
506,506,0,00000000000000000000010001111010,1
507,507,0,11111111111111111111111111111111,1
508,508,0,11111111111111111111111111111111,1
509,509,0,11111111111111111111111111111111,1
510,510,0,11111111111111111111111111111111,1
511,511,0,00000000000000000000010010000101,1
512,512,0,11111111111111111111111111111111,1
513,513,0,11111111111111111111111111111111,1
514,514,0,11111111111111111111111111111111,1
515,515,0,11111111111111111111111111111111,1
516,516,0,00000000000000000000010001101001,1
517,517,0,11111111111111111111111111111111,1
518,518,0,11111111111111111111111111111111,1
519,519,0,11111111111111111111111111111111,1
520,520,0,11111111111111111111111111111111,1
521,521,0,00000000000000000000010001110100,1
522,522,0,11111111111111111111111111111111,1
523,523,0,11111111111111111111111111111111,1
524,524,0,11111111111111111111111111111111,1
525,525,0,11111111111111111111111111111111,1
526,526,0,00000000000000000000010001111111,1
527,527,0,11111111111111111111111111111111,1
528,528,0,11111111111111111111111111111111,1
529,529,0,11111111111111111111111111111111,1
530,530,0,11111111111111111111111111111111,1
531,531,0,00000000000000000000010010001010,1
532,532,0,11111111111111111111111111111111,1
533,533,0,11111111111111111111111111111111,1
534,534,0,11111111111111111111111111111111,1
535,535,0,11111111111111111111111111111111,1
536,536,0,11111111111111111111111111111111,1
537,537,0,00000000000000000000010010011011,1
538,538,0,11111111111111111111111111111111,1
539,539,0,11111111111111111111111111111111,1
540,540,0,11111111111111111111111111111111,1
541,541,0,11111111111111111111111111111111,1
542,542,0,00000000000000000000010001111001,1
543,543,0,11111111111111111111111111111111,1
544,544,0,11111111111111111111111111111111,1
545,545,0,11111111111111111111111111111111,1
546,546,0,11111111111111111111111111111111,1
547,547,0,00000000000000000000010010000100,1
548,548,0,11111111111111111111111111111111,1
549,549,0,11111111111111111111111111111111,1
550,550,0,11111111111111111111111111111111,1
551,551,0,11111111111111111111111111111111,1
552,552,0,00000000000000000000010001101000,1
553,553,0,11111111111111111111111111111111,1
554,554,0,11111111111111111111111111111111,1
555,555,0,11111111111111111111111111111111,1
556,556,0,11111111111111111111111111111111,1
557,557,0,00000000000000000000010001110011,1
558,558,0,11111111111111111111111111111111,1
559,559,0,11111111111111111111111111111111,1
560,560,0,11111111111111111111111111111111,1
561,561,0,11111111111111111111111111111111,1
562,562,0,00000000000000000000010001111110,1
563,563,0,11111111111111111111111111111111,1
564,564,0,11111111111111111111111111111111,1
565,565,0,11111111111111111111111111111111,1
566,566,0,11111111111111111111111111111111,1
567,567,0,00000000000000000000010010001001,1
568,568,0,11111111111111111111111111111111,1
569,569,0,11111111111111111111111111111111,1
570,570,0,11111111111111111111111111111111,1
571,571,0,11111111111111111111111111111111,1
572,572,0,00000000000000000000010001100011,1
573,573,0,11111111111111111111111111111111,1
574,574,0,11111111111111111111111111111111,1
575,575,0,11111111111111111111111111111111,1
576,576,0,11111111111111111111111111111111,1
577,577,0,00000000000000000000010001101110,1
578,578,0,11111111111111111111111111111111,1
579,579,0,11111111111111111111111111111111,1
580,580,0,11111111111111111111111111111111,1
581,581,0,11111111111111111111111111111111,1
582,582,0,11111111111111111111111111111111,1
583,583,0,00000000000000000000010010100100,1
584,584,0,11111111111111111111111111111111,1
585,585,0,11111111111111111111111111111111,1
586,586,0,11111111111111111111111111111111,1
587,587,0,11111111111111111111111111111111,1
588,588,0,00000000000000000000010001100111,1
589,589,0,11111111111111111111111111111111,1
590,590,0,11111111111111111111111111111111,1
591,591,0,11111111111111111111111111111111,1
592,592,0,11111111111111111111111111111111,1
593,593,0,00000000000000000000010001110010,1
594,594,0,11111111111111111111111111111111,1
595,595,0,11111111111111111111111111111111,1
596,596,0,11111111111111111111111111111111,1
597,597,0,11111111111111111111111111111111,1
598,598,0,00000000000000000000010001111101,1
599,599,0,11111111111111111111111111111111,1
600,600,0,11111111111111111111111111111111,1
601,601,0,11111111111111111111111111111111,1
602,602,0,11111111111111111111111111111111,1
603,603,0,00000000000000000000010010001000,1
604,604,0,11111111111111111111111111111111,1
605,605,0,11111111111111111111111111111111,1
606,606,0,11111111111111111111111111111111,1
607,607,0,11111111111111111111111111111111,1
608,608,0,00000000000000000000010001100010,1
609,609,0,11111111111111111111111111111111,1
610,610,0,11111111111111111111111111111111,1
611,611,0,11111111111111111111111111111111,1
612,612,0,11111111111111111111111111111111,1
613,613,0,00000000000000000000010001101101,1
614,614,0,11111111111111111111111111111111,1
615,615,0,11111111111111111111111111111111,1
616,616,0,11111111111111111111111111111111,1
617,617,0,11111111111111111111111111111111,1
618,618,0,00000000000000000000010001111000,1
619,619,0,11111111111111111111111111111111,1
620,620,0,11111111111111111111111111111111,1
621,621,0,11111111111111111111111111111111,1
622,622,0,11111111111111111111111111111111,1
623,623,0,00000000000000000000010010000011,1
624,624,0,11111111111111111111111111111111,1
625,625,0,11111111111111111111111111111111,1
626,626,0,11111111111111111111111111111111,1
627,627,0,11111111111111111111111111111111,1
628,628,0,11111111111111111111111111111111,1
629,629,0,00000000000000000000010010101101,1
630,630,0,11111111111111111111111111111111,1
631,631,0,11111111111111111111111111111111,1
632,632,0,11111111111111111111111111111111,1
633,633,0,11111111111111111111111111111111,1
634,634,0,11111111111111111111111111111111,1
635,635,0,00000000000000000000010010001111,1
636,636,0,11111111111111111111111111111111,1
637,637,0,11111111111111111111111111111111,1
638,638,0,11111111111111111111111111111111,1
639,639,0,11111111111111111111111111111111,1
640,640,0,11111111111111111111111111111111,1
641,641,0,00000000000000000000010010011000,1
642,642,0,11111111111111111111111111111111,1
643,643,0,11111111111111111111111111111111,1
644,644,0,11111111111111111111111111111111,1
645,645,0,11111111111111111111111111111111,1
646,646,0,11111111111111111111111111111111,1
647,647,0,00000000000000000000010010100001,1
648,648,0,11111111111111111111111111111111,1
649,649,0,11111111111111111111111111111111,1
650,650,0,11111111111111111111111111111111,1
651,651,0,11111111111111111111111111111111,1
652,652,0,11111111111111111111111111111111,1
653,653,0,00000000000000000000010010101010,1
654,654,0,11111111111111111111111111111111,1
655,655,0,11111111111111111111111111111111,1
656,656,0,11111111111111111111111111111111,1
657,657,0,11111111111111111111111111111111,1
658,658,0,11111111111111111111111111111111,1
659,659,0,00000000000000000000010010110011,1
660,660,0,11111111111111111111111111111111,1
661,661,0,11111111111111111111111111111111,1
662,662,0,11111111111111111111111111111111,1
663,663,0,11111111111111111111111111111111,1
664,664,0,11111111111111111111111111111111,1
665,665,0,00000000000000000000010010001101,1
666,666,0,11111111111111111111111111111111,1
667,667,0,11111111111111111111111111111111,1
668,668,0,11111111111111111111111111111111,1
669,669,0,11111111111111111111111111111111,1
670,670,0,11111111111111111111111111111111,1
671,671,0,00000000000000000000010010010110,1
672,672,0,11111111111111111111111111111111,1
673,673,0,11111111111111111111111111111111,1
674,674,0,11111111111111111111111111111111,1
675,675,0,11111111111111111111111111111111,1
676,676,0,11111111111111111111111111111111,1
677,677,0,00000000000000000000010010011111,1
678,678,0,11111111111111111111111111111111,1
679,679,0,11111111111111111111111111111111,1
